"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.276862131E0	-1.924308538E-1	1.273308992E0	1.239245415E0	1.787197421E0
3.287126297E0	-1.858539581E-1	1.399781704E0	1.187373161E0	1.844935104E0
3.297423797E0	-1.764892340E-1	1.544209480E0	1.097545624E0	1.902718520E0
3.307721297E0	-1.804356575E-1	1.579521179E0	1.099170685E0	1.932775304E0
3.318018797E0	-1.980211735E-1	1.691896915E0	1.005446434E0	1.978041984E0
3.328316263E0	-2.656972408E-1	1.912333608E0	1.005472183E0	2.176830072E0
3.338613729E0	-2.707713842E-1	2.008333206E0	1.209418297E0	2.359960175E0
3.348911229E0	-3.160579205E-1	2.078835011E0	1.430844307E0	2.543376307E0
3.359208695E0	-3.623048067E-1	2.189896584E0	1.516438484E0	2.688214555E0
3.369506195E0	-4.099769592E-1	2.357057333E0	1.576194763E0	2.864993946E0
3.379803661E0	-4.309157133E-1	2.556650162E0	1.557408333E0	3.024511385E0
3.390101161E0	-3.968855143E-1	2.633984804E0	1.316225052E0	2.971168532E0
3.400365294E0	-3.982976675E-1	2.685286999E0	1.321455956E0	3.019213994E0
3.410629460E0	-3.121863604E-1	2.859113693E0	1.143308640E0	3.095019560E0
3.420860260E0	-3.087176085E-1	2.938721895E0	1.135931969E0	3.165712302E0
3.431091093E0	-3.613620996E-1	3.039001942E0	1.270536423E0	3.313665368E0
3.441321926E0	-3.761464357E-1	3.119253874E0	1.308004379E0	3.403249378E0
3.451552726E0	-4.159502983E-1	3.243072748E0	1.365049362E0	3.543147649E0
3.461750192E0	-4.244748354E-1	3.277544498E0	1.368538857E0	3.577062402E0
3.471947692E0	-4.488620758E-1	3.464214563E0	1.469346046E0	3.789622344E0
3.482111858E0	-4.622359276E-1	3.490409851E0	1.471296310E0	3.815931841E0
3.492276024E0	-4.482672215E-1	3.549772739E0	1.295204163E0	3.805178554E0
3.502440190E0	-4.216310978E-1	3.650875568E0	1.175477028E0	3.858550433E0
3.512604390E0	-4.456599951E-1	3.889659405E0	9.032812119E-1	4.017957200E0
3.522735223E0	-4.140616655E-1	3.921499729E0	7.640199661E-1	4.016632134E0
3.532866089E0	-3.894581795E-1	3.906131268E0	6.259069443E-1	3.975084736E0
3.543030289E0	-3.918225765E-1	3.868669510E0	6.204500198E-1	3.937649925E0
3.553194522E0	-3.565789461E-1	3.821640968E0	3.692464828E-1	3.855960477E0
3.563358688E0	-3.170044422E-1	3.827975988E0	2.796745300E-1	3.851247827E0
3.573522888E0	-3.147186041E-1	3.937273979E0	1.845026016E-1	3.954139021E0
3.583687054E0	-3.178946972E-1	3.975000143E0	1.295824051E-1	3.989796333E0
3.593851254E0	-2.838251591E-1	4.014181614E0	1.700496674E-2	4.024239048E0
3.603982087E0	-2.542194128E-1	4.029066086E0	-1.648130417E-1	4.040441111E0
3.614112953E0	-2.360075712E-1	4.034910202E0	-3.698358536E-1	4.058691719E0
3.624243786E0	-2.381103039E-1	3.929821491E0	-3.775081635E-1	3.955086078E0
3.634374652E0	-1.695920229E-1	3.992853165E0	-8.724279404E-1	4.090570664E0
3.644505518E0	-1.685743332E-1	3.885403156E0	-8.775224686E-1	3.986830906E0
3.654636384E0	-1.115852594E-1	3.801418781E0	-1.287993431E0	4.015241350E0
3.664767250E0	-1.062933207E-1	3.698176384E0	-1.290122032E0	3.918191125E0
3.674898150E0	-7.856190205E-2	3.655292034E0	-1.360445023E0	3.901043769E0
3.685029016E0	-5.487990379E-2	3.608828545E0	-1.388932228E0	3.867271390E0
3.695159882E0	-6.466221809E-2	3.636089325E0	-1.356624603E0	3.881463267E0
3.705290715E0	-5.813777447E-2	3.548048496E0	-1.354692459E0	3.798318021E0
3.715421581E0	-5.151891708E-2	3.517383337E0	-1.395229340E0	3.784349964E0
3.725585781E0	-4.408001900E-3	3.482244968E0	-1.574151993E0	3.821518539E0
3.735749981E0	1.032471657E-3	3.411775112E0	-1.570856094E0	3.756035057E0
3.745914147E0	2.370023727E-2	3.342144012E0	-1.667812347E0	3.735249165E0
3.756078347E0	7.846117020E-3	3.213722467E0	-1.766760826E0	3.667358378E0
3.766242513E0	1.731598377E-2	3.160523415E0	-1.762553215E0	3.618812227E0
3.776406713E0	-5.927920341E-3	3.041066170E0	-1.624215126E0	3.447635910E0
3.786604246E0	5.239844322E-3	2.998549938E0	-1.619943619E0	3.408158816E0
3.796801746E0	1.121068001E-2	2.931160212E0	-1.464818954E0	3.276815594E0
3.806999246E0	1.044774055E-2	2.814709663E0	-1.178068161E0	3.051318442E0
3.817196746E0	-1.001238823E-2	2.756252289E0	-1.099791527E0	2.967586280E0
3.827427612E0	1.404917240E-2	2.678309202E0	-1.033677101E0	2.870892877E0
3.837658445E0	4.174721241E-2	2.618680954E0	-9.677572250E-1	2.792093626E0
3.847855911E0	3.606176376E-2	2.531236887E0	-9.018144608E-1	2.687327660E0
3.858053377E0	4.864168167E-2	2.506878853E0	-8.979043961E-1	2.663276159E0
3.868250910E0	1.289367676E-3	2.372887611E0	-7.718639374E-1	2.495269768E0
3.878448410E0	-1.427674294E-2	2.287274361E0	-7.130832672E-1	2.395895568E0
3.888645910E0	1.938104630E-3	2.173129797E0	-6.042213440E-1	2.255566515E0
3.898843410E0	-1.304328442E-2	2.071053982E0	-5.192594528E-1	2.135196736E0
3.909040943E0	-4.018378258E-2	1.973869801E0	-3.237810135E-1	2.000652611E0
3.919238443E0	-1.520931721E-2	1.875522733E0	-1.657962799E-1	1.882898099E0
3.929435976E0	-5.834317207E-2	1.762932539E0	-1.029109955E-2	1.763927711E0
3.939633476E0	-3.558039665E-2	1.662507415E0	4.897022247E-2	1.663609014E0
3.949797642E0	-2.866327763E-2	1.639037371E0	5.260944366E-2	1.640131958E0
3.959961808E0	-4.658508301E-2	1.450962543E0	2.189168930E-1	1.468123659E0
3.970092641E0	-6.260287762E-2	1.330826759E0	2.944889069E-1	1.364456925E0
3.980223441E0	-1.078073978E-1	1.224139452E0	3.870029449E-1	1.288375377E0
3.990387674E0	-1.172584295E-1	1.080116868E0	4.815359116E-1	1.188393378E0
